﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:48G7Ta3PDOxEpDXfjGxDHr","Apple Blossom","Esperanza Spalding","Chamber Music Society","1","6","362520","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T15:12:03Z"
"spotify:track:2AUC8RpImJa9mKeolpWTVW","Good Lava","Esperanza Spalding","Emily’s D+Evolution (Deluxe Edition)","1","1","217880","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T15:12:05Z"
"spotify:track:3KvLcnv7irEiRuXFyNlsvT","Unconditional Love","Esperanza Spalding","Emily’s D+Evolution","1","2","226440","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T15:12:08Z"
"spotify:track:2CS0RcwxuawBHEs8n7gS3i","Precious","Esperanza Spalding","Esperanza","1","7","263506","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T15:12:10Z"
"spotify:track:3afeZ81GDy59tATovKyH6Z","I Know You Know","Esperanza Spalding","Esperanza","1","2","225200","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T15:12:12Z"
"spotify:track:0dy1AHcYegwz5W0Zygc2Nq","Brown Round Things (feat. Ambrose Akinmusire) (feat. Ambrose Akinmusire)","Somi, Ambrose Akinmusire","The Lagos Music Salon","1","7","270946","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T15:12:14Z"
"spotify:track:4hkL4pzAuVtpS70FzS1i5i","Nature Boy","Kurt Elling","The Messenger","1","1","369160","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T15:12:17Z"
"spotify:track:2m4AKjV0OBfSft7YYh8y5x","Ponta De Areia","Esperanza Spalding","Esperanza","1","1","336706","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T15:12:19Z"
"spotify:track:3XPYMyW85vr0TxFcCu5fAj","Vital Transformation (with John McLaughlin) - Remastered","Mahavishnu Orchestra, John McLaughlin","The Essential Mahavishnu Orchestra with John McLaughlin (with John McLaughlin)","1","2","375840","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T15:16:03Z"
"spotify:track:1c3b6JuJQWN76u3yVHXMKp","Which Way is Up?!","Oz Noy, Will Lee, James Genus, Anton Fig, Keith Carlock, Jim Beard","Fuzzy","1","1","479040","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T15:16:06Z"
"spotify:track:1NX9NOQBZxQ7ZuYowwixB0","Imperial Strut - Remastered Version","Yellowjackets","The Best Of Yellowjackets","1","7","329800","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T15:16:17Z"
"spotify:track:0oJjpUvt3Bm8IEgflXlt9X","Transvested Express","Larry Coryell, Alphonse Mouzon","Back Together Again","1","3","231706","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T15:16:19Z"
"spotify:track:0grIjIErlVS7mukVwRPdt3","Once In A Lifetime","Vital Information","Where We Come From","1","16","643613","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T15:16:21Z"
"spotify:track:5TSeJ2XjbqsA1wc4QmR8kV","Mariana","MARO, Manuel Rocha","MARO & Manel","1","9","215179","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T16:07:07Z"
"spotify:track:3HINPLAYD1sMTAohpXlcSf","Aquela valsa","Hermeto Pascoal","Grandes Mestres da MPB","1","6","164266","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T16:07:09Z"
"spotify:track:7qVnzohY8VAKFkiJIgStbk","Alma Mía (feat. Los Macorinos)","Natalia Lafourcade, Los Macorinos","Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos), Vol. 2","1","2","259586","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T16:07:11Z"
"spotify:track:0nzF6zVEEVzSvBIIQXMr1t","Rainbo Conversation","Stereolab","Dots And Loops","1","6","286346","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T16:07:13Z"
"spotify:track:4dOx3hSe48dWIQKUKL3Zsn","Pipoca","Sérgio Mendes","Brasileiro","1","11","190373","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T16:07:15Z"
"spotify:track:27GRBPtGludLEDnlR9CMrw","Capivara","Aline Morena, Hermeto Pascoal","Bodas de Latão","1","2","199906","spotify:user:21l7lx3frau5ex73pmhzwtygi","2019-10-21T16:07:18Z"
